art_id,token
27,"[('기획', 'NNG'), ('안', 'NNG')]"
27,"[('쓰', 'VV'), ('는', 'ETM'), ('걸', 'NNB+JKO')]"
27,"[('보조', 'NNG'), ('하', 'XSV'), ('라니', 'EC')]"
28,"[('서류', 'NNG')]"
28,"[('제출', 'NNG')]"
28,"[('조금', 'NNG')]"
28,"[('실수', 'NNG'), ('한', 'XSA+ETM'), ('게', 'NNB+JKS')]"
28,"[('있', 'VA'), ('어서', 'EC')]"
28,"[('지원', 'NNG'), ('취소', 'NNG')]"
28,"[('바로', 'MAG')]"
28,"[('재지원', 'NNP')]"
28,"[('상관없', 'VA'), ('죠', 'EF')]"
29,"[('Sourcing', 'SL')]"
29,"[('Specialist', 'SL')]"
29,"[('믿', 'VV'), ('어도', 'EC')]"
29,"[('되', 'VV'), ('나요', 'EC')]"
30,"[('신입', 'NNG'), ('의', 'NNG')]"
30,"[('회사', 'NNG'), ('선택', 'NNG')]"
30,"[('도와', 'VV+EC'), ('주', 'VX'), ('시', 'EP'), ('면', 'EC')]"
30,"[('감사', 'NNG'), ('하', 'XSV'), ('겠', 'EP'), ('습니다', 'EF')]"
31,"[('이직', 'NNP'), ('사유', 'NNG')]"
31,"[('물어볼', 'VV+ETM'), ('때', 'NNG')]"
31,"[('권고사직', 'NNG'), ('을', 'JKO')]"
31,"[('그대로', 'MAG')]"
31,"[('얘기', 'NNG'), ('하', 'XSV'), ('는', 'ETM')]"
31,"[('게', 'NNG')]"
31,"[('좋', 'VA'), ('을까요', 'EC')]"
32,"[('C언어', 'NNP'), ('를', 'JKO')]"
32,"[('꼭', 'MAG')]"
32,"[('배워야', 'VV+EC')]"
32,"[('하', 'VV'), ('는가', 'EC')]"
33,"[('국비', 'NNG')]"
33,"[('수료', 'NNG'), ('후', 'NNG')]"
33,"[('2', 'SN'), ('달', 'NNBC'), ('동안', 'NNG')]"
33,"[('개인', 'NNG')]"
33,"[('프로젝트', 'NNG')]"
33,"[('진행', 'NNG'), ('해서', 'XSV+EC')]"
33,"[('만들', 'VV'), ('었', 'EP'), ('습니다', 'EF')]"
33,"[('근데', 'MAJ')]"
33,"[('깃헙', 'NNP')]"
33,"[('1일1커밋', 'NNP'), ('을', 'JKO')]"
33,"[('안', 'MAG'), ('했', 'VV+EP'), ('는데', 'EC')]"
34,"[('비전공자', 'NNP')]"
34,"[('AI', 'SL'), ('데싸', 'NNP')]"
34,"[('개발자', 'NNG')]"
34,"[('커리어', 'NNP')]"
34,"[('관련', 'NNG')]"
34,"[('선배', 'NNG'), ('님', 'XSN'), ('들', 'XSN'), ('께', 'JKB')]"
34,"[('조언', 'NNG'), ('좀', 'MAG')]"
34,"[('구하', 'VV'), ('고', 'EC')]"
34,"[('싶', 'VX'), ('습니다', 'EF')]"
35,"[('삼성전자', 'NNP')]"
35,"[('vs', 'SL')]"
35,"[('지', 'NNP'), ('마켓', 'NNP'), ('글로벌', 'NNG')]"
36,"[('이제', 'MAG')]"
36,"[('곧', 'MAG')]"
36,"[('있', 'VA'), ('으면', 'EC')]"
36,"[('국비', 'NNG')]"
36,"[('과정', 'NNG'), ('이', 'JKS')]"
36,"[('끝', 'NNG'), ('나', 'NP'), ('는', 'JX')]"
36,"[('초급', 'NNG'), ('개발자', 'NNG'), ('입니다', 'VCP+EC')]"
37,"[('그냥', 'MAG')]"
37,"[('CRUD', 'SL')]"
37,"[('기능', 'NNG')]"
37,"[('있', 'VA'), ('는', 'ETM')]"
37,"[('일반', 'NNG'), ('적', 'XSN'), ('인', 'VCP+ETM')]"
37,"[('게시판', 'NNG')]"
37,"[('만드', 'VV'), ('는', 'ETM')]"
37,"[('것', 'NP'), ('도', 'JX')]"
37,"[('포폴', 'NNP'), ('이', 'VCP'), ('라', 'EC')]"
37,"[('할', 'VV+ETM')]"
37,"[('수', 'NNG')]"
37,"[('있', 'VA'), ('을까요', 'EC')]"
38,"[('학교', 'NNG'), ('에서', 'JKB')]"
38,"[('배우', 'NNG'), ('는', 'JX')]"
38,"[('수학', 'NNG'), ('이나', 'JC')]"
38,"[('cs', 'SL'), ('의', 'NNG')]"
38,"[('중요', 'NNG'), ('성', 'XSN'), ('을', 'JKO')]"
38,"[('알', 'VV'), ('려면', 'EC')]"
39,"[('요구사항', 'NNP'), ('분석', 'NNG')]"
39,"[('문제해결능력', 'NNP')]"
39,"[('커뮤니케이션', 'NNG'), ('이', 'JKS')]"
39,"[('뭔', 'MM'), ('가요', 'NNG')]"
40,"[('국비', 'NNG')]"
40,"[('그냥', 'MAG')]"
40,"[('궁금', 'XR'), ('한', 'XSA+ETM'), ('점고', 'NNG'), ('졸', 'NNG'), ('이', 'JKS')]"
40,"[('국비', 'NNG'), ('포폴', 'NNP')]"
40,"[('하나', 'NR'), ('만', 'JX')]"
40,"[('달랑', 'MAG'), ('들', 'VV'), ('고', 'EC')]"
41,"[('카톡', 'NNP')]"
41,"[('개발자', 'NNG')]"
41,"[('수다', 'NNG')]"
41,"[('채팅', 'NNG'), ('방', 'NNG'), ('으로', 'JKB')]"
41,"[('초대', 'NNG'), ('합니다', 'XSV+EC')]"
42,"[('AI', 'SL')]"
42,"[('빅데이터', 'NNP')]"
42,"[('산업', 'NNG')]"
42,"[('고학력자', 'NNG')]"
42,"[('아니', 'VCN'), ('어도', 'EC')]"
42,"[('취업', 'NNG')]"
42,"[('가능', 'NNG'), ('합니다', 'XSA+EC')]"
43,"[('리액트', 'NNP')]"
43,"[('공부', 'NNG'), ('하', 'XSV'), ('니', 'EC')]"
43,"[('부가', 'NNG'), ('적', 'XSN'), ('으로', 'JKB')]"
43,"[('공부', 'NNG'), ('할', 'XSV+ETM'), ('게', 'NNB+JKS')]"
43,"[('보이', 'VV'), ('네요', 'EC')]"
44,"[('신입', 'NNG'), ('이', 'JKS')]"
44,"[('자질', 'NNG'), ('이', 'JKS')]"
44,"[('없', 'VA'), ('다', 'EC')]"
44,"[('vs', 'SL')]"
44,"[('선배', 'NNG'), ('가', 'JKS')]"
44,"[('동문서답', 'NNG'), ('한다', 'XSV+EC')]"
45,"[('해외', 'NNG'), ('주식', 'NNG')]"
45,"[('미국', 'NNP')]"
45,"[('소프트웨어', 'NNG')]"
45,"[('기업', 'NNG'), ('중', 'NNB')]"
45,"[('상장', 'NNG'), ('된', 'XSV+ETM'), ('기업', 'NNG'), ('들', 'XSN'), ('있', 'VA'), ('나요', 'EC')]"
46,"[('LG', 'SL'), ('그램', 'NNG')]"
46,"[('노트북', 'NNG')]"
46,"[('둘', 'NR')]"
46,"[('중', 'NNG'), ('에', 'JKB')]"
46,"[('추천', 'NNG')]"
46,"[('좀', 'MAG')]"
46,"[('부탁', 'NNG'), ('드립니다', 'VV+EC')]"
47,"[('잡', 'NNP'), ('플래닛', 'NNP')]"
47,"[('리뷰', 'NNP')]"
47,"[('없', 'VA'), ('는데', 'EC')]"
47,"[('기업', 'NNG')]"
47,"[('설명', 'NNG'), ('은', 'JX')]"
47,"[('괜찮', 'VA'), ('은', 'ETM')]"
48,"[('시간', 'NNG'), ('에', 'JKB')]"
48,"[('쫓기', 'VV'), ('지', 'EC')]"
48,"[('않', 'VV'), ('고', 'EC')]"
48,"[('코딩', 'NNG'), ('하', 'XSV'), ('는', 'ETM'), ('게', 'NNB+JKS')]"
48,"[('개꿀', 'NNG'), ('이', 'VCP'), ('네요', 'EC')]"
49,"[('전공', 'NNG'), ('자', 'XSN')]"
49,"[('정보', 'NNG'), ('처리', 'NNG'), ('기사', 'NNG')]"
49,"[('자격증', 'NNG'), ('은', 'JX')]"
49,"[('팔수', 'NNG'), ('인가요', 'VCP+EC')]"
50,"[('SI', 'SL')]"
50,"[('초급', 'NNG')]"
50,"[('단가', 'NNG+VCP+EC')]"
50,"[('괜찮', 'VA'), ('은', 'ETM'), ('가요', 'NNG')]"
51,"[('c', 'SL')]"
51,"[('개발자', 'NNG'), ('로', 'JKB')]"
51,"[('신입', 'NNG')]"
51,"[('생활', 'NNG')]"
51,"[('시작', 'NNG')]"
52,"[('퇴사', 'NNG'), ('자', 'XSN'), ('가', 'JKS')]"
52,"[('한', 'MM'), ('달', 'NNG'), ('에', 'JKB')]"
52,"[('한', 'MM'), ('명', 'NNBC'), ('꼴', 'XSN'), ('로', 'JKB')]"
52,"[('나오', 'VV'), ('는데', 'EC')]"
52,"[('뭐', 'NP'), ('가', 'JKS')]"
52,"[('맞', 'VV'), ('는지', 'EC')]"
52,"[('모르', 'VV'), ('겠', 'EP'), ('습니다', 'EF')]"
53,"[('2022', 'SN')]"
53,"[('JSReact', 'SL')]"
53,"[('오픈', 'NNG'), ('소스', 'NNG')]"
53,"[('시상식', 'NNG')]"
53,"[('결과', 'NNG'), ('가', 'JKS')]"
53,"[('나왔었', 'VV+EP'), ('네요', 'EC')]"
54,"[('그냥', 'MAG')]"
54,"[('단순히', 'MAG')]"
54,"[('궁금', 'XR'), ('하', 'XSA'), ('여', 'EC')]"
54,"[('질문', 'NNG'), ('드립니다', 'VV+EC')]"
55,"[('잡', 'NNP'), ('플래닛', 'NNP')]"
55,"[('후기', 'NNG'), ('가', 'JKS')]"
55,"[('없', 'VA'), ('는', 'ETM')]"
55,"[('회사', 'NNG')]"
55,"[('괜찮', 'VA'), ('나요', 'EC')]"
56,"[('신입', 'NNG'), ('의', 'NNG')]"
56,"[('회사', 'NNG'), ('선택', 'NNG'), ('도움', 'NNG')]"
56,"[('받', 'VV'), ('을', 'ETM')]"
56,"[('수', 'NNG')]"
56,"[('있', 'VA'), ('을까요', 'EC')]"
57,"[('크', 'IC'), ('큭', 'MAG'), ('나', 'NP'), ('는', 'JX')]"
57,"[('내', 'NP')]"
57,"[('풀', 'NNG'), ('파워', 'NNG'), ('의', 'NNG')]"
57,"[('40', 'SN'), ('만', 'NR')]"
57,"[('발휘', 'NNG'), ('하', 'XSV'), ('고', 'EC')]"
57,"[('있', 'VA'), ('다구', 'EC')]"
58,"[('si', 'SL')]"
58,"[('뻥튀기', 'NNG')]"
58,"[('구별', 'NNG'), ('법', 'NNG')]"
59,"[('MSA', 'SL')]"
59,"[('방식', 'NNG'), ('으로', 'JKB')]"
59,"[('개발', 'NNG'), ('할', 'XSV+ETM'), ('때', 'NNG')]"
59,"[('스프링', 'NNG')]"
59,"[('클라우드', 'NNP'), ('Spring', 'SL')]"
59,"[('cloud', 'SL'), ('쓰', 'VV'), ('나요', 'EC')]"
60,"[('이', 'MM')]"
60,"[('정도', 'NNG')]"
60,"[('화면', 'NNG')]"
60,"[('및', 'MAJ')]"
60,"[('기능', 'NNG'), ('들', 'XSN'), ('이', 'VCP'), ('면', 'EC')]"
60,"[('개발', 'NNG'), ('하', 'XSV'), ('는데', 'EC')]"
60,"[('얼마나', 'MAG')]"
60,"[('걸려야', 'VV+EC')]"
60,"[('할까요', 'VV+EC')]"
61,"[('select', 'SL')]"
61,"[('box', 'SL'), ('에', 'JKB')]"
61,"[('전체', 'NNG'), ('나', 'JC')]"
61,"[('선택', 'NNG'), ('에', 'JKB')]"
61,"[('value', 'SL'), ('로', 'JKB')]"
61,"[('뭐', 'IC')]"
61,"[('쓰', 'VV'), ('세요', 'EP+EF')]"
62,"[('이력서', 'NNG')]"
62,"[('제', 'NP+JKG'), ('출시', 'NNG')]"
62,"[('PDF', 'SL')]"
62,"[('파일', 'NNG')]"
62,"[('두', 'MM'), ('개', 'NNBC')]"
62,"[('첨부', 'NNG')]"
62,"[('괜찮', 'VA'), ('나요', 'EC')]"
63,"[('이런', 'MM')]"
63,"[('오류', 'NNG')]"
63,"[('뜨', 'VV'), ('는데', 'EC')]"
63,"[('왜', 'MAG'), ('인가요', 'VCP+EC')]"
64,"[('SI', 'SL')]"
64,"[('1', 'SN'), ('년', 'NNBC')]"
